DayOfWeek,TimeOfDay,Season,CustomerZipCode,StoreZipCode,OrderedQty,ItemID,ShippingOption,HasDiscount,IsPeakSeason,IsWeekend,Distance,Inventory,FulfillmentSuccess
Thu,Evening,Summer,27947,4628,28,Item3,Overnight,FALSE,TRUE,TRUE,748.3078598,56,0
Fri,Night,Spring,42411,4430,44,Item3,Standard,TRUE,FALSE,FALSE,1158.7101,77,0
Wed,Afternoon,Winter,99117,52777,44,Item2,Expedited,FALSE,TRUE,FALSE,1405.690318,73,0
Sun,Night,Fall,51565,38544,20,Item4,Expedited,TRUE,FALSE,TRUE,652.5241257,58,0
Sun,Morning,Spring,26801,36442,30,Item1,Expedited,TRUE,FALSE,TRUE,697.1787001,61,1
Mon,Morning,Summer,27573,21666,11,Item3,Expedited,TRUE,TRUE,FALSE,227.2406594,47,1
Thu,Afternoon,Summer,78618,55371,28,Item1,Overnight,TRUE,TRUE,TRUE,1084.394068,48,0
Fri,Morning,Spring,29321,98283,25,Item4,Overnight,TRUE,FALSE,TRUE,2225.00477,62,1
Thu,Night,Fall,47584,24415,39,Item4,Expedited,FALSE,FALSE,TRUE,432.3938764,22,0
Sat,Evening,Spring,46278,80131,33,Item4,Expedited,FALSE,FALSE,TRUE,992.9082422,29,0
Fri,Afternoon,Spring,80026,83012,1,Item2,Expedited,TRUE,TRUE,TRUE,386.5785627,78,1
Sun,Morning,Winter,62479,87583,27,Item1,Overnight,FALSE,TRUE,FALSE,971.1573528,33,1
Sun,Night,Spring,88231,81242,13,Item4,Standard,TRUE,FALSE,TRUE,446.3161137,95,1
Fri,Night,Winter,14805,26585,41,Item3,Expedited,FALSE,TRUE,TRUE,270.4891862,66,0
Sun,Morning,Fall,93603,84770,3,Item4,Standard,TRUE,FALSE,TRUE,299.247027,61,1
Wed,Night,Spring,77091,10039,39,Item3,Overnight,FALSE,FALSE,TRUE,1422.506263,51,0
Fri,Night,Spring,62821,4786,6,Item3,Overnight,FALSE,FALSE,TRUE,1176.741378,51,0
Thu,Afternoon,Summer,79602,12077,8,Item4,Overnight,FALSE,TRUE,TRUE,1576.858373,61,0
Fri,Night,Spring,65647,41083,27,Item3,Overnight,FALSE,FALSE,TRUE,511.24529,51,0
Sun,Morning,Summer,48381,78417,9,Item3,Overnight,FALSE,FALSE,FALSE,1285.20412,45,0
Wed,Afternoon,Summer,61335,99689,37,Item2,Standard,TRUE,TRUE,TRUE,2469.595724,20,0
Wed,Morning,Summer,68422,23076,33,Item1,Standard,FALSE,FALSE,FALSE,1111.032572,75,1
Sat,Evening,Fall,68977,1864,42,Item2,Standard,FALSE,FALSE,TRUE,1483.045496,21,0
Thu,Morning,Winter,84320,30522,44,Item2,Standard,TRUE,FALSE,TRUE,1561.464276,49,0
Tue,Morning,Summer,55358,77046,24,Item2,Expedited,FALSE,FALSE,TRUE,1073.851589,90,0
Tue,Afternoon,Spring,99125,53069,15,Item1,Overnight,FALSE,FALSE,TRUE,1447.806812,71,1
Fri,Night,Spring,55021,12820,32,Item1,Standard,TRUE,FALSE,TRUE,976.4954053,28,1
Sat,Morning,Summer,30182,29303,32,Item4,Standard,FALSE,FALSE,TRUE,208.4607589,41,0
Mon,Afternoon,Summer,17772,59532,24,Item2,Expedited,FALSE,FALSE,TRUE,1697.238825,53,0
Fri,Evening,Spring,73481,40456,41,Item1,Expedited,TRUE,FALSE,TRUE,764.8002904,68,1
Sat,Afternoon,Summer,22624,43526,49,Item4,Overnight,FALSE,TRUE,FALSE,376.8498993,20,1
Thu,Afternoon,Winter,78567,78376,49,Item2,Overnight,FALSE,TRUE,TRUE,102.232213,92,0
Thu,Night,Winter,23005,30114,12,Item2,Expedited,TRUE,FALSE,FALSE,462.7001259,72,1
Thu,Morning,Fall,51640,95984,39,Item3,Expedited,FALSE,TRUE,FALSE,1336.309444,59,0
Thu,Evening,Summer,72851,78725,2,Item1,Expedited,TRUE,TRUE,FALSE,422.4070797,64,1
Thu,Afternoon,Fall,14166,60015,3,Item3,Overnight,TRUE,TRUE,FALSE,432.1498552,87,1
Sat,Morning,Fall,94022,64743,49,Item2,Expedited,FALSE,TRUE,FALSE,1516.051671,28,0
Sat,Morning,Fall,89701,57559,37,Item2,Standard,TRUE,TRUE,FALSE,1033.521346,41,0
Wed,Afternoon,Summer,80918,94403,49,Item2,Overnight,TRUE,FALSE,FALSE,953.7642692,37,0
Tue,Morning,Fall,46814,23060,17,Item4,Overnight,FALSE,FALSE,FALSE,476.0953864,95,1
Sun,Afternoon,Winter,75173,79367,49,Item3,Standard,TRUE,FALSE,TRUE,335.4897882,62,0
Thu,Afternoon,Fall,63473,92551,2,Item3,Standard,TRUE,TRUE,TRUE,1463.442969,58,0
Mon,Afternoon,Winter,68666,36754,2,Item2,Overnight,FALSE,TRUE,FALSE,825.5787037,92,0
Sun,Evening,Winter,71674,77067,28,Item3,Overnight,FALSE,TRUE,TRUE,366.0516781,25,0
Sat,Afternoon,Summer,66549,17029,23,Item2,Expedited,FALSE,TRUE,FALSE,996.0545748,67,0
Mon,Night,Fall,52147,50126,37,Item2,Expedited,TRUE,TRUE,FALSE,72.02505786,26,1
Mon,Morning,Summer,49931,73541,32,Item3,Standard,FALSE,FALSE,TRUE,986.2743313,99,1
Mon,Evening,Winter,15465,98604,33,Item1,Standard,FALSE,FALSE,TRUE,2179.508636,88,0
Wed,Morning,Spring,21797,39326,1,Item2,Standard,FALSE,TRUE,TRUE,797.0885721,35,1
Sat,Evening,Fall,63750,47011,19,Item2,Standard,TRUE,TRUE,TRUE,301.7869034,20,0
Mon,Night,Summer,22847,54985,2,Item3,Expedited,FALSE,TRUE,FALSE,627.7712581,56,0
Thu,Evening,Spring,44627,81633,44,Item3,Overnight,TRUE,TRUE,TRUE,1394.838424,56,1
Fri,Evening,Fall,10304,14221,26,Item3,Expedited,TRUE,TRUE,TRUE,289.0677226,83,1
Mon,Evening,Fall,16911,12973,32,Item2,Standard,TRUE,TRUE,TRUE,221.2054136,81,1
Wed,Morning,Summer,1225,39066,6,Item1,Expedited,TRUE,FALSE,FALSE,1186.739393,91,1
Sun,Afternoon,Spring,91763,49648,32,Item1,Standard,FALSE,FALSE,TRUE,1864.609603,80,1
Sat,Morning,Summer,61565,77306,4,Item1,Expedited,TRUE,FALSE,TRUE,810.1906099,52,0
Wed,Afternoon,Fall,39565,49004,11,Item2,Overnight,FALSE,FALSE,FALSE,831.8076115,85,1
Mon,Morning,Fall,52738,78074,17,Item3,Standard,FALSE,FALSE,FALSE,885.2539468,49,0
Sat,Night,Winter,55741,68339,38,Item1,Expedited,FALSE,TRUE,FALSE,514.5820779,39,0
Fri,Night,Fall,16350,15547,24,Item1,Standard,TRUE,FALSE,FALSE,125.0501175,79,1
Mon,Evening,Fall,62972,47224,5,Item1,Overnight,FALSE,TRUE,TRUE,215.8463974,93,1
Wed,Night,Spring,35215,79567,34,Item2,Standard,FALSE,FALSE,TRUE,778.2883258,43,0
Tue,Evening,Spring,8610,93218,6,Item3,Overnight,FALSE,FALSE,TRUE,2404.019363,23,0
Thu,Afternoon,Winter,71943,54530,22,Item4,Expedited,FALSE,FALSE,TRUE,787.9657835,56,0
Sun,Night,Winter,82084,683,11,Item3,Overnight,TRUE,TRUE,FALSE,2767.010982,23,0
Wed,Afternoon,Winter,54982,85742,48,Item3,Standard,FALSE,TRUE,TRUE,1422.261929,96,0
Sat,Morning,Summer,48701,7043,16,Item3,Expedited,TRUE,FALSE,TRUE,513.7299531,96,0
Mon,Afternoon,Summer,85045,27965,33,Item1,Standard,TRUE,FALSE,FALSE,2049.870191,37,1
Thu,Morning,Winter,38573,92126,9,Item3,Standard,FALSE,FALSE,FALSE,1820.522938,85,0
Mon,Afternoon,Summer,25252,12446,6,Item1,Expedited,TRUE,FALSE,FALSE,429.5492784,67,1
Sat,Afternoon,Fall,95503,27048,16,Item2,Overnight,FALSE,TRUE,TRUE,2376.682983,52,0
Mon,Night,Winter,15290,60432,29,Item4,Overnight,FALSE,TRUE,FALSE,424.4646572,77,1
Tue,Afternoon,Winter,58576,30268,3,Item2,Expedited,TRUE,TRUE,TRUE,1287.152187,92,0
Thu,Night,Summer,77449,30316,20,Item2,Expedited,FALSE,FALSE,FALSE,720.3178003,47,0
Thu,Night,Spring,59469,80010,36,Item4,Standard,FALSE,FALSE,FALSE,591.0232178,54,0
Sat,Evening,Winter,69217,18470,19,Item3,Standard,FALSE,TRUE,FALSE,1235.830307,29,0
Sun,Evening,Summer,16131,93604,26,Item3,Expedited,TRUE,FALSE,TRUE,2088.545862,84,0
Tue,Morning,Summer,26691,24101,3,Item1,Expedited,FALSE,TRUE,FALSE,96.76704376,61,1
Wed,Afternoon,Spring,30607,66951,19,Item3,Standard,FALSE,TRUE,FALSE,948.1064369,28,1
Mon,Morning,Winter,52068,97140,20,Item4,Standard,TRUE,TRUE,TRUE,1596.979092,79,0
Fri,Afternoon,Spring,72564,76687,32,Item2,Overnight,TRUE,TRUE,TRUE,411.3153946,34,1
